trial,net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
559,-457.1099999999951,92,0.6750040881330385,11,50,56,1.3,8,4,False,0,20,2.52,6.2,80,100,True,False,14,23.1,8,22,8.0,0.1,10000.0
560,-3790.990000000007,856,0.6420849198489029,12,48,56,0.6,7,4,True,0,20,2.29,5.15,80,200,True,False,14,17.0,8,21,8.0,0.1,10000.0
561,-3927.7600000000193,1072,0.7297375032081872,9,52,64,2.1,7,2,True,0,14,2.63,4.81,80,100,False,True,14,19.4,8,22,8.0,0.1,10000.0
562,-3186.7900000000036,669,0.6225300562629553,9,44,32,2.1,9,2,True,0,14,2.15,5.01,80,200,True,True,14,16.2,7,21,8.0,0.1,10000.0
563,-3263.28999999999,701,0.6226529201038855,10,42,56,0.6,10,2,True,1,14,2.08,4.79,96,200,True,False,14,22.0,8,21,8.0,0.1,10000.0
564,-380.7099999999991,118,0.7870130015440732,11,38,56,1.1,9,5,False,0,20,3.13,4.81,64,100,True,False,14,16.8,8,22,6.0,0.1,10000.0
565,-88.28999999999905,59,0.9017723039951937,9,40,40,1.9,8,2,False,0,20,3.06,4.63,48,200,True,False,14,18.6,8,22,6.0,0.1,10000.0
566,-922.8799999999937,185,0.677817110380316,9,52,32,0.8,7,5,False,0,14,2.63,5.22,96,200,True,False,14,22.2,8,21,6.0,0.1,10000.0
567,-893.9299999999894,215,0.7347530398969788,10,46,72,0.7,10,3,False,1,14,2.83,4.73,96,100,True,False,14,21.4,8,22,6.0,0.1,10000.0
568,-2717.3299999999936,565,0.6426921200629585,11,40,48,0.9,10,4,True,1,20,2.79,7.04,48,100,True,False,14,19.1,8,21,8.0,0.1,10000.0
569,-3537.8500000000013,820,0.7111699826106833,9,40,48,1.3,8,2,True,0,14,2.89,5.22,96,100,True,False,14,19.8,8,22,8.0,0.1,10000.0
